symbol,expiration,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,lastTradeDate,impliedVolatility,inTheMoney
aapl,2025-11-14,AAPL251114C00110000,110.0,USD,161.1,0.0,0.0,4.0,1,157.15,160.0,REGULAR,2025-11-05 19:11:51,2.535159912109375,True
aapl,2025-11-14,AAPL251114C00120000,120.0,USD,147.94,-3.4599915,-2.2853312,1.0,4,147.05,149.95,REGULAR,2025-11-07 19:14:29,2.02344244140625,True
aapl,2025-11-14,AAPL251114C00130000,130.0,USD,141.13,0.0,0.0,6.0,1,136.6,140.1,REGULAR,2025-11-05 19:11:51,3.1601583496093753,True
aapl,2025-11-14,AAPL251114C00140000,140.0,USD,130.5,0.0,0.0,1.0,1,127.05,130.1,REGULAR,2025-10-31 14:08:20,1.890625546875,True
aapl,2025-11-14,AAPL251114C00145000,145.0,USD,125.5,0.0,0.0,2.0,3,121.85,124.8,REGULAR,2025-10-31 14:08:20,2.631839357910157,True
aapl,2025-11-14,AAPL251114C00155000,155.0,USD,116.77,0.0,0.0,1.0,1,111.85,115.0,REGULAR,2025-10-31 19:01:36,2.452640587158203,True
aapl,2025-11-14,AAPL251114C00160000,160.0,USD,115.65,0.0,0.0,1.0,1,106.85,110.1,REGULAR,2025-10-31 13:31:51,1.125004375,True
aapl,2025-11-14,AAPL251114C00165000,165.0,USD,105.25,0.0,0.0,4.0,4,101.85,104.95,REGULAR,2025-10-31 13:40:46,2.198246691894531,True
aapl,2025-11-14,AAPL251114C00170000,170.0,USD,98.91,0.0,0.0,6.0,6,96.85,99.85,REGULAR,2025-10-28 15:23:23,2.053715803222656,True
aapl,2025-11-14,AAPL251114C00175000,175.0,USD,96.3,0.0,0.0,1.0,5,91.55,94.95,REGULAR,2025-10-31 13:47:10,1.973144665527344,True
aapl,2025-11-14,AAPL251114C00180000,180.0,USD,87.73,13.220001,17.742586,22.0,1,87.05,90.0,REGULAR,2025-11-07 19:53:17,1.12109814453125,True
aapl,2025-11-14,AAPL251114C00185000,185.0,USD,79.25,0.0,0.0,0.0,1,81.95,84.5,REGULAR,2025-10-21 13:58:06,1.6289081054687498,True
aapl,2025-11-14,AAPL251114C00190000,190.0,USD,80.12,0.37000275,0.4639533,4.0,6,76.85,79.5,REGULAR,2025-11-07 15:07:44,1.530764064941406,True
aapl,2025-11-14,AAPL251114C00195000,195.0,USD,72.72,-4.6100006,-5.9614644,3.0,6,72.05,74.5,REGULAR,2025-11-07 19:26:06,1.4345731396484376,True
aapl,2025-11-14,AAPL251114C00200000,200.0,USD,68.1,-2.7000046,-3.8135655,54.0,16,67.5,69.25,REGULAR,2025-11-07 20:25:47,1.2661169506835934,True
aapl,2025-11-14,AAPL251114C00205000,205.0,USD,62.45,-3.8500023,-5.806941,98.0,14,62.05,64.9,REGULAR,2025-11-07 18:57:31,0.6250037500000001,True
aapl,2025-11-14,AAPL251114C00210000,210.0,USD,58.18,-3.119999,-5.089721,45.0,90,56.6,59.4,REGULAR,2025-11-07 20:48:23,1.1313519995117187,True
aapl,2025-11-14,AAPL251114C00215000,215.0,USD,52.77,-4.59,-8.002092,118.0,195,52.55,54.9,REGULAR,2025-11-07 19:56:36,0.8173846386718748,True
aapl,2025-11-14,AAPL251114C00220000,220.0,USD,47.6,-2.1400032,-4.3023787,25.0,844,47.65,49.15,REGULAR,2025-11-07 20:51:49,0.89257919921875,True
